family,link,n,p,skinnyglms_secs,statsmodels_secs
GaussianFamily,IdentityLink,10,0,2.2979999999983568e-05,0.00047147000000000714
BinomialFamily,LogitLink,10,0,0.00012942000000000232,0.0004991600000000096
GammaFamily,LogLink,10,0,0.00011546000000000056,0.0011195899999999926
PoissonFamily,LogLink,10,0,0.00011722999999999039,0.0006814799999999898
InverseGaussianFamily,LogLink,10,0,0.00011546000000000056,0.001164260000000006
GaussianFamily,IdentityLink,10,1,2.4249999999992333e-05,0.0004915000000000003
BinomialFamily,LogitLink,10,1,0.00013488999999999862,0.000678129999999988
GammaFamily,LogLink,10,1,0.00016768000000000338,0.0019921999999999995
PoissonFamily,LogLink,10,1,0.0001492899999999908,0.0008427500000000032
InverseGaussianFamily,LogLink,10,1,0.00012162000000000006,0.003479650000000012
GaussianFamily,IdentityLink,100,0,2.2140000000003823e-05,0.0004913900000000027
BinomialFamily,LogitLink,100,0,0.00014590000000000992,0.0008395399999999942
GammaFamily,LogLink,100,0,0.0001281599999999994,0.0011859100000000122
PoissonFamily,LogLink,100,0,0.00013170000000000125,0.0006867100000000015
InverseGaussianFamily,LogLink,100,0,0.00013551999999998897,0.001221019999999995
GaussianFamily,IdentityLink,100,1,2.5039999999987295e-05,0.0005187500000000123
BinomialFamily,LogitLink,100,1,0.0001537400000000133,0.0008859600000000079
GammaFamily,LogLink,100,1,0.0001403799999999844,0.0016889700000000119
PoissonFamily,LogLink,100,1,0.0001430699999999785,0.0008790100000000134
InverseGaussianFamily,LogLink,100,1,0.00014746000000003255,0.004152880000000003
GaussianFamily,IdentityLink,100,10,0.00010057999999997236,0.000726260000000023
BinomialFamily,LogitLink,100,10,0.00046376000000001303,0.0011590500000000059
GammaFamily,LogLink,100,10,0.0014040000000000053,0.012846940000000018
PoissonFamily,LogLink,100,10,0.0006494599999999906,0.0011749599999999916
InverseGaussianFamily,LogLink,100,10,0.010368619999999985,0.01818526
GaussianFamily,IdentityLink,1000,0,2.9460000000014473e-05,0.0006882199999999727
BinomialFamily,LogitLink,1000,0,0.0003069400000000222,0.001196869999999972
GammaFamily,LogLink,1000,0,0.0002581900000000026,0.0020166200000000245
PoissonFamily,LogLink,1000,0,0.00026220000000005684,0.0011749599999999916
InverseGaussianFamily,LogLink,1000,0,0.00034973999999996506,0.002159939999999949
GaussianFamily,IdentityLink,1000,1,4.315999999997544e-05,0.0007917800000000419
BinomialFamily,LogitLink,1000,1,0.0003553700000000326,0.0013556399999999692
GammaFamily,LogLink,1000,1,0.0003197899999999976,0.002816520000000011
PoissonFamily,LogLink,1000,1,0.00032399999999999096,0.0013524799999999892
InverseGaussianFamily,LogLink,1000,1,0.00040794000000001775,0.003163439999999973
GaussianFamily,IdentityLink,1000,10,0.0003452600000000139,0.0027882299999999914
BinomialFamily,LogitLink,1000,10,0.0015157299999999374,0.004055600000000048
GammaFamily,LogLink,1000,10,0.001600239999999964,0.014247730000000037
PoissonFamily,LogLink,1000,10,0.0016940599999999862,0.00447652999999999
InverseGaussianFamily,LogLink,1000,10,0.001770960000000077,0.01782471000000001
GaussianFamily,IdentityLink,1000,100,0.0029769699999999235,0.10320814999999986
BinomialFamily,LogitLink,1000,100,0.015288789999999964,0.12508580000000008
GammaFamily,LogLink,1000,100,0.023899830000000222,1.3750961599999996
PoissonFamily,LogLink,1000,100,0.01491963999999939,0.14588015999999868
InverseGaussianFamily,LogLink,1000,100,0.30336977999999987,-1.0
